date,time,freq,rs,dt,lat,long
211007,120400,3.573,13,0.1,0,0
211007,53015,3.573,1,-0.1,0,0
211007,63730,3.573,21,0,0,0
211007,52445,3.573,-5,0.1,0,0
211007,40245,3.573,-17,0,0,0
211007,113630,3.573,2,0.4,83.5,175
211007,103030,3.573,-3,0.9,0,0
211007,110700,3.573,10,0.4,32.5,-111
211007,112600,3.573,-2,-0.1,42.5,-89
211007,122400,3.573,-18,0.3,33.5,-93
211007,75715,3.573,-8,0.3,0,0
211007,84530,3.573,4,0,0,0
211007,101130,3.573,11,0.6,33.5,-117
211007,114900,3.573,-9,0,0,0
211007,105215,3.573,-1,0.5,-2.5,-79
211007,45115,3.573,-14,0.3,0,0
211007,100130,3.573,-14,0.1,0,0
211007,50330,3.573,-19,0.1,0,0
211007,60145,3.573,-21,0.5,0,0
211007,93500,3.573,-15,0.1,0,0
211007,125545,3.573,1,0,0,0
211007,112445,3.573,4,-0.2,53.5,-167
211007,120500,3.573,4,0.1,83.5,175
211007,120900,3.573,18,0.2,0,0
211007,91230,3.573,-20,0.1,0,0
211007,125515,3.573,15,0,0,0
211007,110930,3.573,-17,-0.1,41.5,141
211007,100245,3.573,-12,0.1,45.5,-87
211007,52445,3.573,-6,0.1,0,0
211007,100015,3.573,-12,0.1,0,0
211007,55945,3.573,17,0.2,0,0
211007,110230,3.573,3,0.4,0,0
211007,64300,3.573,-4,0,0,0
211007,103645,3.573,-7,0,0,0
211007,125900,3.573,-8,0,0,0
211007,103145,3.573,-17,0.1,0,0
211007,51600,3.573,2,0,0,0
211007,60415,3.573,5,0.4,0,0
211007,102015,3.573,-5,0.1,0,0
211007,41845,3.573,0,0,0,0
211007,41845,3.573,2,0,0,0
211007,41800,3.573,-13,0,0,0
211007,114045,3.573,-3,0,0,0
211007,42115,3.573,5,0,0,0
211007,92530,3.573,-6,-0.1,0,0
211007,94515,3.573,3,0.3,0,0
211007,35300,3.573,13,0.4,0,0
211007,53045,3.573,-16,-0.3,0,0
211007,100115,3.573,1,0.4,0,0
211007,122945,3.573,3,0,0,0
211007,44045,3.573,-18,0.2,0,0
211007,43245,3.573,-15,0.1,0,0
211007,35945,3.573,-1,0.3,0,0
211007,123630,3.573,-16,-1,0,0
211007,123430,3.573,-4,0.1,83.5,175
211007,130615,3.573,8,-0.1,53.5,-167
211007,45415,3.573,-18,0.3,0,0
211007,41845,3.573,-10,0.2,0,0
211007,93115,3.573,-22,0.1,0,0
211007,80030,3.573,-18,0.1,0,0
211007,82945,3.573,-6,-0.4,0,0
211007,115600,3.573,-21,0.1,0,0
211007,63115,3.573,-13,0,0,0
211007,93515,3.573,-14,1,0,0
211007,64315,3.573,-14,0.4,0,0
211007,61345,3.573,5,0.2,0,0
211007,61630,3.573,-16,0.3,0,0
211007,51945,3.573,-14,0,0,0
211007,63145,3.573,-16,0.3,0,0
211007,55030,3.573,-16,0.3,0,0
211007,50745,3.573,-14,0,0,0
211007,51700,3.573,1,0.1,0,0
211007,41630,3.573,3,0.3,0,0
211007,103330,3.573,-11,0.1,0,0
211007,52615,3.573,0,0.1,0,0
211007,114800,3.573,6,0,0,0
211007,124245,3.573,15,0.1,35.5,-107
211007,115430,3.573,-11,0.3,29.5,-99
211007,35845,3.573,8,0.2,0,0
211007,65145,3.573,-14,0.1,0,0
211007,111030,3.573,-6,1.4,0,0
211007,51815,3.573,-8,0,0,0
211007,64545,3.573,7,-0.1,0,0
211007,44715,3.573,2,0.2,0,0
211007,64030,3.573,0,0,0,0
211007,90830,3.573,5,0.1,0,0
211007,61745,3.573,-2,0.2,0,0
211007,63700,3.573,15,0,0,0
211007,43715,3.573,-3,0.2,0,0
211007,50330,3.573,-23,0.2,0,0
211007,122130,3.573,-14,1,0,0
211007,81915,3.573,-6,0.1,0,0
211007,51915,3.573,5,-0.2,0,0
211007,105530,3.573,6,0.5,0,0
211007,83500,3.573,3,0.3,0,0
211007,92015,3.573,-10,0,0,0
211007,5315,3.573,-12,0.1,0,0
211007,115345,3.573,11,0,0,0
211007,41345,3.573,-12,0.3,0,0
211007,102115,3.573,0,-0.2,0,0
211007,120200,3.573,-24,0,0,0
211007,111015,3.573,-16,0.5,33.5,-85
211007,35145,3.573,2,0.2,0,0
211007,101730,3.573,-21,0.1,53.5,-101
211007,70345,3.573,-4,0.2,0,0
211007,84130,3.573,4,0,0,0
211007,52600,3.573,9,0,0,0
211007,90000,3.573,-13,0,0,0
211007,104830,3.573,-2,0.1,0,0
211007,113815,3.573,-1,-0.1,34.5,-83
211007,115730,3.573,19,0.1,39.5,-119
211007,64845,3.573,15,0.1,0,0
211007,104330,3.573,0,0.1,41.5,-83
211007,105645,3.573,-14,0.8,0,0
211007,91200,3.573,6,0.1,0,0
211007,41530,3.573,5,0.4,0,0
211007,72915,3.573,-3,0.1,0,0
211007,93615,3.573,-17,0.1,0,0
211007,105500,3.573,-13,0.4,33.5,-83
211007,100230,3.573,-14,0.1,0,0
211007,101900,3.573,-13,0.1,0,0
211007,103145,3.573,-5,0.1,0,0
211007,53915,3.573,-1,0,0,0
211007,52215,3.573,-13,-0.3,0,0
211007,55930,3.573,-6,0.3,0,0
211007,112330,3.573,-4,-0.1,37.5,139
211007,10200,3.573,-16,-0.6,0,0
211007,122630,3.573,1,0.1,41.5,-105
211007,95515,3.573,3,0.1,0,0
211007,60000,3.573,9,0.4,0,0
211007,45215,3.573,6,0.2,0,0
210823,231400,7.074,-6,0.2,45.5,-93
211006,152615,7.074,-19,-0.3,-7.5,111
211006,153315,7.074,1,0,0,0
210813,3415,7.074,-6,0.8,0,0
210913,151815,7.074,12,0.1,48.5,-121
210825,154815,7.074,-17,0.2,39.5,-83
210824,153930,7.074,-12,-1.5,30.5,121
210910,2430,7.074,-17,1,0,0
210913,151815,7.074,-8,-0.1,-6.5,107
210611,224745,7.074,-13,0.9,0,0
210824,154030,7.074,7,0.5,32.5,-111
210910,1915,7.074,-8,1,0,0
210824,144200,7.074,-12,1.6,-6.5,107
210827,161045,7.074,-14,0,0,0
210902,151200,7.074,-17,0.4,42.5,-121
210819,154630,7.074,-6,0.1,45.5,-123
210913,151715,7.074,8,0.1,-2.5,113
210910,153615,7.074,-19,0,0,0
210813,3600,7.074,-14,1.4,0,0
210914,345,7.074,-18,0,0,0
210907,150745,7.074,-3,0,0,0
210831,170030,7.074,-12,0.4,0,0
210824,151100,7.074,14,0.5,37.5,-123
210907,151300,7.074,-22,0.6,33.5,-119
210902,153630,7.074,-15,1.1,34.5,135
210513,2115,7.074,9,0.7,0,0
210813,2530,7.074,-17,1.3,0,0
210908,144800,7.074,8,-0.1,0,0
210824,162045,7.074,16,0.6,83.5,175
211006,162015,7.074,-18,-0.1,43.5,-93
210913,160345,7.074,-15,0.1,0,0
210519,0,7.074,-15,0.4,0,0
210824,152600,7.074,-19,1.2,38.5,141
210823,225515,7.074,-9,0.7,44.5,-93
210909,145800,7.074,1,0,0,0
210907,143845,7.074,9,-0.3,47.5,-123
211006,160630,7.074,-6,-0.1,0,0
211006,152215,7.074,-11,0.2,0,0
210909,153015,7.074,-8,0.1,0,0
210913,150500,7.074,-17,0.7,0,0
210913,235315,7.074,-13,0.1,44.5,-79
210907,145745,7.074,-11,-0.4,36.5,137
211006,150800,7.074,24,0.6,0,0
210823,232300,7.074,-10,0.1,35.5,-97
210907,144100,7.074,8,-1,0,0
210908,151600,7.074,-18,0.2,39.5,-87
210913,151900,7.074,-15,-0.1,0,0
210902,151500,7.074,-7,0.3,42.5,-121
210913,235730,7.074,-7,-0.1,0,0
210827,160630,7.074,-16,0.1,-6.5,107
211006,145700,7.074,-7,0.8,0,0
210908,144300,7.074,-9,-0.1,-34.5,139
210518,234015,7.074,-11,0.3,27.5,-81
210527,235715,7.074,-7,0.2,38.5,-81
210823,231230,7.074,-6,0.9,32.5,-97
211006,151530,7.074,-11,0.5,83.5,175
210913,152845,7.074,-5,0,0,0
210909,153045,7.074,-3,-0.1,0,0
210824,155700,7.074,-7,0.5,1.5,125
210902,145900,7.074,-11,0.5,40.5,-93
211006,152130,7.074,1,0,0,0
210909,152745,7.074,-18,1.4,0,0
210824,172730,7.074,-14,1.1,34.5,-93
210913,150245,7.074,-16,0.2,0,0
210908,143800,7.074,10,-1.2,0,0
210909,151130,7.074,-8,-0.1,0,0
210908,143945,7.074,5,-0.9,33.5,-113
210909,145930,7.074,-1,0.3,0,0
210913,150030,7.074,-19,0,0,0
210820,2200,7.074,-24,0.4,0,0
210908,144730,7.074,-15,0.5,0,0
211005,161730,7.074,20,-0.7,45.5,-123
210813,2715,7.074,-11,1.2,0,0
210913,235630,7.074,-4,0.1,0,0
210819,152930,7.074,16,0,0,0
210913,235115,7.074,0,0,0,0
211006,162200,7.074,-22,0.8,46.5,125
210910,153545,7.074,-16,-0.1,0,0
210907,143445,7.074,6,-0.4,0,0
210910,1745,7.074,-4,0.9,0,0
210908,144330,7.074,-17,0,0,0
210913,235315,7.074,-6,0,0,0
210913,151230,7.074,1,0,0,0
